,Book Name,Book Address
1,從死亡之旅開始的異世界狂想曲,https://www.dm5.com/manhua-congsiwangzhilvkaishideyishijiekuangxiangqu/
2,在異世界迷宮開後宮,https://www.dm5.com/manhua-zaiyishijiemigongkaihougong/
3,聖女的魔力是萬能的,http://www.dm5.com/manhua-shengnvdemolishiwannengde/
4,迷宮飯,http://www.dm5.com/manhua-migongfan/
5,理想的小白臉生活,http://www.dm5.com/manhua-lixiangdexiaobailianshenghuo/
6,異世界藥局,http://www.dm5.com/manhua-yishijieyaoju/
7,強者的新傳說,http://www.dm5.com/manhua-jiangzhedexinchuanshui/
8,月光下的異世界之旅,http://www.dm5.com/manhua-yueguangxiadeyishijiezhilv/
9,無職轉生,http://www.dm5.com/manhua-wuzhizhuansheng/
10,Fate_stay night Heavens Feel,http://www.dm5.com/manhua-fate-stay-night-heavens-feel/
11,成為魔王的方法,http://www.dm5.com/manhua-chengweimowangdefangfa/
12,哥布林殺手,http://www.dm5.com/manhua-gebulinshashou/
13,哥布林殺手外傳：第一年,http://www.dm5.com/manhua-gebulinshashouwaichuan-diyinian/
14,沃特尼亞戰記,http://www.dm5.com/manhua-woteniyazhanji/
15,平凡職業成就世界最強,http://www.dm5.com/manhua-pingfanzhiyechengjiushijiezuiqiang/
16,異世界悠閒農家,http://www.dm5.com/manhua-yishijieyouxiannongjia/
17,異世界建國記,http://www.dm5.com/manhua-yishijiejianguoji/
18,骸骨騎士大人異世界冒險中,https://www.dm5.com/manhua-haiguqishidarenyishijiemaoxianzhong/
19,異世界和智能手機在一起,http://www.dm5.com/manhua-yishijiehezhinengshoujizaiyiqi/
20,轉生貴族的異世界冒險錄,http://www.dm5.com/manhua-zhuanshengguizudeyishijiemaoxianlu/
21,轉生豬公爵，這次想說喜歡你,http://www.dm5.com/manhua-zhuanshengzhugongjue-zhecixiangshuoxihuanni/
22,關於我的房間成為了地下城的休息點的事情,http://www.dm5.com/manhua-guanyuwodefangjianchengweiledixiachengdexiuxidiandeshiqing/
23,狂怒的暴食 ～隻有我突破了等級這概念～,http://www.dm5.com/manhua-kuangnudebaoshi--zhiyouwotupoledengjizhegainian/
24,聖者無雙,http://www.dm5.com/manhua-shengzhewushuang/
25,World Trigger,http://www.dm5.com/manhua-world-trigger/
26,轉生成為魔劍,http://www.dm5.com/manhua-zhuanshengchengweimojian/
27,盤踞於淫邪宗教之物,http://www.dm5.com/manhua-panjuyuyinxiezongjiaozhiwu/
28,網購技能開啟異世界美食之旅,https://www.dm5.com/manhua-wanggoujinengkaiqiyishijiemeishizhilv/
29,網購技能開啟異世界美食之旅 水水的大冒險,https://www.dm5.com/manhua-wanggoujinengkaiqiyishijiemeishizhilv-shuishuidedamaoxian/
30,神眼勇者,https://www.dm5.com/manhua-shenyanyongzhe/
31,失格紋的最強賢者～世界最強的賢者為了變得更強而轉生了～,http://www.dm5.com/manhua-shigewendezuijiangxianzhe-shijiezuijiangdexianzheweilebiandegengqiangerzhuanshengle/
32,殲滅魔導的最強賢者 無才的賢者，窮極魔導登峰造極,http://www.dm5.com/manhua-jianmiemodaodezuiqiangxianzhe-wucaidexianzhe-qiongjimodaodengfengzaoji/
33,在邊境悠閒地度日,https://www.dm5.com/manhua-zaibianjingyouxiandiduri/
34,轉生之後 我想要在田園過慢生活,https://www.dm5.com/manhua-zhuanshengzhihou-woxiangyaozaitianyuanguomanshenghuo/
35,異世界回歸勇者在現代無雙！,http://www.dm5.com/manhua-yishijiehuiguiyongzhezaixiandaiwushuang/
36,回歸勇者後日談,https://www.dm5.com/manhua-huiguiyongzhehouritan/
37,從Lv2開始開掛的原勇者候補悠閒的異世界生活,http://www.dm5.com/manhua-cong-lv-2-kaishikaiguadeyuanyongzhehoubuyouxiandeyishijieshenghuo/
38,被召喚的賢者闖蕩異世界,https://www.dm5.com/manhua-beizhaohuandexianzhechuangdangyishijie
39,精靈來日,http://www.dm5.com/manhua-jinglinglairi/
40,在異世界解體技能後開掛新娘增加了,http://www.dm5.com/manhua-zaiyishijiejietijinenghoukaiguaxinniangzengjiale/
41,八男？彆鬨了！,http://www.dm5.com/manhua-paimingdibadenanren-bushishenmedoumeiyouma/
42,我想我的眼鏡大概可以征服世界,http://www.dm5.com/manhua-woxiangwodeyanjingdagaikeyizhengfushijie/
43,其實，我乃最強？,http://www.dm5.com/manhua-qishi-wonaizuiqiang/
44,轉生賢者的異世界生活~取得副職業並成為世界最強,https://www.dm5.com/manhua-zhuanshengxianzhedeyishijieshenghuo-qudefuzhiyebingchengweishijiezuiqiang/
45,停止時間的勇者,http://www.dm5.com/manhua-tingzhishijiandeyongzhe/
46,想要成為影之實力者,http://www.dm5.com/manhua-xiangyaochengweiyingzhishilizhe/
47,英雄王，為了窮儘武道而轉生，然後，成為世界最強的見習騎士♀,http://www.dm5.com/manhua-yingxiongwang-weileqiongjinwudaoerzhuansheng-ranhou-chengweishijiezuiqiangdejianxiqishi/
48,達爾文遊戲,http://www.dm5.com/manhua-daerwenyouxi/
49,劣等眼的轉生魔術師,https://www.dm5.com/manhua-liedengyandezhuanshengmoshushi/
50,熊熊勇闖異世界,http://www.dm5.com/manhua-xiongxiongyongchenyishijie/
51,（想要）在異世界過慢生活,http://www.dm5.com/manhua--xiangyao-zaiyishijieguomanshenghuo/
52,再構築世界,https://www.dm5.com/manhua-zaigouzhushijie/
53,異世界Green hat man～用最強技能讓基友的女人惡墮～,https://www.dm5.com/manhua-yishijie-green-hat-man-yongzuiqiangjinengrangjiyoudenvreneduo/
54,雙穹的支配者　～異世界歐派無雙傳～,http://www.dm5.com/manhua-shuangqiongdezhipeizhe-yishijieoupaiwushuangchuan/
55,原來我家是魔力點~隻是住在那裡就變成世界最強~,https://www.dm5.com/manhua-yuanlaiwojiashimolidian-zhishizhuzainalijiubianchengshijiezuiqiang/
56,SEX＆迷宮！！~在我家地下出現了H次數=等級的迷宮！？,https://www.dm5.com/manhua-sex-migong-zaiwojiadixiachuxianle-h-cishu-dengjidemigong/
57,發情世界～感染?bitch化?時間停止～,https://www.dm5.com/manhua-faqingshijie-ganran-bitch-hua-shijiantingzhi/
58,乙女遊戲世界對路人角色很不友好,http://www.dm5.com/manhua-yinvyouxishijieduilurenjiaosehenbuyouhao/
59,市民A無論如何都想拯救反派千金~汙水溝與天空與冰之公主~,https://www.dm5.com/manhua-shimin-a-wulunruheduxiangzhengjiufanpaiqianjin-wushuigouyutiankongyubingzhigongzhu/
60,聖女的魔力是萬能的~另一個聖女~,http://www.dm5.com/manhua-shengnvdemolishiwannengde-lingyigeshengnv/
61,魔都精兵的奴隸,http://www.dm5.com/manhua-modujingbingdenuli/
62,以裝備製作係開掛技能自由的過活,http://www.dm5.com/manhua-yizhuangbeizhizuoxikaiguajinengziyoudeguohuo/
63,轉生者才能駕馭的極限天賦 —Over Limit Skill Holder—,https://www.dm5.com/manhua-zhuanshengzhecainengjiayudejixiantianfu--over-limit-skill-holder/
64,異世界叔叔,https://www.dm5.com/manhua-yishijieshushu/
65,中年男當起異世界爸爸life,https://www.dm5.com/manhua-zhongniannandangqiyishijiebaba-life/
66,囿者無所畏懼,https://www.dm5.com/manhua-youzhewusuoweiju/
67,反派家族的女主人、在起死回生之後洗心革麵了,https://www.dm5.com/manhua-fanpaijiazudenvzhuren-zaiqisihuishengzhihouxixingemianle/
68,不覺得村莊建造遊戲的npc也是活生生的人嗎,https://www.dm5.com/manhua-bujuedecunzhuangjianzaoyouxide-npc-yeshihuoshengshengderenma/
69,女高中生小春在異世界成為遊女,https://www.dm5.com/manhua-nvgaozhongshengxiaochunzaiyishijiechengweiyounv/
70,頂級勇者的超魔教導~將前途無量的魔王和公主收為了弟子,https://www.dm5.com/manhua-dingjiyongzhedechaomojiaodao-jiangqiantuwuliangdemowanghegongzhushouweiledizi/
71,覺醒了垃圾技能自動機能~咦、工會挖角的人們不再對我說「不需要」了,https://www.dm5.com/manhua-juexinglelajijinengzidongjineng-yi-gonghuiwajiaoderenmenbuzaiduiwoshuo-buxuyao-le/
72,轉生後的我再次陷於她手,https://www.dm5.com/manhua-zhuanshenghoudewozaicixianyutashou/
73,底層冒險者的逆襲,https://www.dm5.com/manhua-dicengmaoxianzhedenixi/
74,依靠被嫌棄的【狀態異常技能】而成為最強的我最終蹂躪一切,https://www.dm5.com/manhua-yikaobeixianqide-zhuangtaiyichangjineng-erchengweizuiqiangdewozuizhongroulinyiqie/
75,異世界賢者的轉生無雙,https://www.dm5.com/manhua-yishijiexianzhedezhuanshengwushuang/
76,鬼畜英雄,https://www.dm5.com/manhua-guichuyingxiong/
77,從異界回來的奔四白領回到17歲的時候開無雙,https://www.dm5.com/manhua-congyijiehuilaidebensibailinghuidao-17-suideshihoukaiwushuang/
78,身為不得誌職業『鍛造師』卻是最強,https://www.dm5.com/manhua-shenweibudezhizhiye-duanzaoshi-queshizuiqiang/
79,被追放的轉生重騎士用遊戲知識開無雙,https://www.dm5.cn/manhua-destiny-unchain-online--chengweixixueguishaonv-bujiuhoubeichenwei-hongzhimowang/
